NODR30A,ALCTRY,ALCREC,IRALCFY,ALCYDAYS,TOTDRINK,IRSEX,AGE_YRS,BOOKED
13,13,1,52,3,52,1,24,2
2,15,1,120,4,120,1,35,1
7,17,1,60,3,60,1,30,2
6,15,1,156,4,156,2,50,2
1,21,1,72,3,72,2,24,2
4,18,1,260,4,260,1,50,2
2,16,1,10,1,10,2,35,2
3,19,1,48,2,48,2,22,2
5,16,1,12,2,12,2,19,2
2,17,1,20,2,20,2,26,1
2,18,1,180,4,180,2,35,2
1,18,1,20,2,20,2,35,2
1,15,1,260,4,260,1,26,2
3,16,1,84,3,84,1,22,1
1,18,1,3,1,3,2,26,2
2,15,1,104,4,104,2,24,2
2,16,1,84,3,84,1,26,2
1,15,1,52,3,52,1,20,1
4,12,1,60,3,60,2,15,2
12,16,1,104,4,104,1,35,2
1,15,1,24,2,24,2,30,2
1,16,1,24,2,24,2,19,2
1,13,1,10,1,10,2,30,2
1,13,1,24,2,24,2,26,2
1,15,1,15,2,15,2,20,2
2,15,1,48,2,48,2,35,2
2,19,1,24,2,24,1,21,2
3,17,1,52,3,52,2,24,2
1,17,1,3,1,3,1,17,2
2,16,1,12,2,12,2,22,2
4,12,1,120,4,120,2,24,2
5,16,1,108,4,108,1,24,1
10,16,1,104,4,104,1,18,1
1,17,1,12,2,12,2,35,2
4,18,1,144,4,144,1,22,2
2,21,1,72,3,72,1,30,2
4,5,1,60,3,60,2,30,2
8,17,1,156,4,156,2,35,2
10,17,1,108,4,108,1,35,2
5,20,1,104,4,104,2,35,2
2,21,1,347,5,372,2,50,2
13,12,1,208,4,208,1,19,1
2,15,1,60,3,60,2,30,1
6,16,1,350,5,360,1,35,2
3,14,1,104,4,104,1,35,2
2,16,1,208,4,208,1,50,2
2,14,1,208,4,208,1,20,1
4,24,1,80,3,80,2,30,2
2,16,1,104,4,104,1,21,2
2,10,1,12,2,12,1,26,2
2,14,1,60,3,60,2,16,2
2,17,1,208,4,208,1,30,2
3,17,1,208,4,208,1,35,2
5,16,1,260,4,260,2,22,1
3,20,1,36,2,36,2,24,2
4,13,1,156,4,156,2,22,2
1,13,1,2,1,2,2,15,2
2,16,1,120,4,120,2,26,2
8,16,1,104,4,104,1,22,2
2,15,1,72,3,72,2,22,2
3,16,1,72,3,72,2,22,1
1,21,1,24,2,24,2,26,2
4,16,1,10,1,10,2,35,2
12,15,1,260,4,260,1,50,1
3,18,1,312,5,312,1,35,1
4,16,1,72,3,72,1,22,2
3,10,1,10,1,10,1,13,2
7,14,1,104,4,104,1,19,1
4,8,1,208,4,208,1,18,1
1,18,1,4,1,4,1,24,1
3,17,1,104,4,104,1,30,2
2,14,1,104,4,104,2,22,2
4,15,1,48,2,48,2,24,2
2,14,1,52,3,52,2,26,2
2,14,1,52,3,52,2,21,2
3,16,1,24,2,24,1,26,1
5,15,1,156,4,156,2,22,2
2,14,1,36,2,36,1,30,2
2,14,1,156,4,156,1,22,1
4,16,1,24,2,24,1,24,1
8,16,1,72,3,72,1,21,2
3,10,1,104,4,104,2,19,2
4,21,1,1,1,1,1,30,2
1,6,1,52,3,52,1,16,2
3,18,1,260,4,260,2,21,2
30,10,1,52,3,52,1,16,1
4,14,1,168,4,168,1,17,1
1,15,1,104,4,104,1,16,1
2,17,1,52,3,52,1,35,2
3,15,1,48,2,48,1,35,1
2,12,1,156,4,156,1,20,2
6,15,1,156,4,156,1,21,1
3,12,1,24,2,24,2,22,2
8,14,1,180,4,180,2,30,1
1,13,1,104,4,104,1,35,2
2,14,1,52,3,52,1,17,2
1,18,1,24,2,24,2,20,2
3,15,1,14,2,14,1,19,1
3,16,1,2,1,2,2,22,2
5,16,1,96,3,96,2,20,2
15,10,1,104,4,104,1,18,2
5,9,1,96,3,96,2,24,1
5,18,1,36,2,36,2,24,2
4,17,1,156,4,156,1,35,2
3,15,1,60,3,60,1,24,1
6,13,1,312,5,312,1,18,1
2,16,1,24,2,24,2,24,2
30,16,1,104,4,104,1,35,1
4,10,1,120,4,120,1,22,2
2,17,1,156,4,156,1,50,2
2,16,1,260,4,260,1,35,2
4,13,1,156,4,156,2,19,1
3,15,1,24,2,24,2,35,2
2,14,1,52,3,52,1,35,2
4,16,1,260,4,260,2,21,1
7,16,1,208,4,208,1,21,2
1,15,1,15,2,24,2,15,2
2,15,1,4,1,4,2,30,1
7,16,1,104,4,104,1,24,2
8,16,1,60,3,60,1,24,1
7,15,1,208,4,208,1,22,2
4,15,1,72,3,72,1,22,2
1,15,1,104,4,104,2,22,1
1,12,1,12,2,12,1,21,2
6,14,1,60,3,60,1,20,1
1,28,1,2,1,2,2,35,2
4,12,1,104,4,104,2,26,2
6,16,1,48,2,48,2,35,2
5,9,1,20,2,20,1,35,2
4,16,1,36,2,36,1,35,2
15,13,1,156,4,156,1,30,2
2,15,1,48,2,48,1,22,2
2,13,1,24,2,24,2,35,2
6,16,1,240,4,240,1,24,2
2,12,1,35,2,35,1,30,1
2,17,1,60,3,60,1,35,2
2,16,1,60,3,60,1,21,2
9,7,1,208,4,208,1,17,1
3,19,1,208,4,208,1,22,2
2,16,1,104,4,104,2,26,2
1,15,1,3,1,3,1,17,2
3,6,1,12,2,12,2,22,2
1,10,1,72,3,72,1,35,2
3,14,1,120,4,120,1,30,1
8,16,1,260,4,260,2,19,2
3,17,1,24,2,24,2,21,2
4,12,1,104,4,104,1,19,2
3,14,1,104,4,104,1,20,1
6,14,1,52,3,52,1,19,2
1,21,1,5,1,5,2,65,2
4,13,1,168,4,168,2,15,2
2,15,1,156,4,156,1,24,1
1,17,1,48,2,48,1,50,2
3,15,1,208,4,208,1,35,2
6,13,1,36,2,36,1,22,1
4,15,1,104,4,104,2,24,2
3,14,1,52,3,52,1,19,1
4,16,1,52,3,52,1,65,1
3,20,1,24,2,24,1,22,2
2,14,1,52,3,96,2,15,2
2,16,1,48,2,48,2,30,2
6,15,1,72,3,72,1,24,1
2,14,1,156,4,156,2,21,2
1,16,1,156,4,156,2,50,2
1,20,1,35,2,35,2,35,2
1,16,1,36,2,36,2,65,2
2,17,1,24,2,24,1,65,2
8,11,1,240,4,240,2,18,2
1,10,1,24,2,24,2,12,2
2,16,1,156,4,156,1,65,2
7,16,1,23,2,23,1,17,2
1,14,1,48,2,48,1,22,2
5,14,1,2,1,2,2,20,2
1,18,1,260,4,260,2,50,2
2,16,1,104,4,104,1,20,1
2,13,1,104,4,104,2,35,2
1,16,1,2,1,2,2,19,2
8,14,1,8,1,8,1,17,2
1,19,1,12,2,12,1,30,2
12,12,1,180,4,180,1,22,2
6,14,1,36,2,36,2,22,1
7,16,1,104,4,104,2,20,2
2,13,1,288,4,288,1,21,2
1,21,1,48,2,48,2,50,2
1,16,1,60,3,60,2,22,2
3,17,1,36,2,36,1,26,1
2,10,1,120,4,120,1,26,2
1,18,1,150,4,150,1,65,2
5,15,1,60,3,60,2,16,1
2,21,1,60,3,60,2,35,2
8,15,1,104,4,104,1,17,2
4,13,1,104,4,104,1,18,2
5,12,1,240,4,240,1,15,2
2,11,1,156,4,156,2,21,1
2,13,1,60,3,60,2,19,1
4,18,1,260,4,260,1,35,1
2,21,1,24,2,24,1,30,2
2,16,1,312,5,312,1,35,1
1,14,1,120,4,120,2,20,2
3,12,1,156,4,156,1,35,2
1,13,1,52,3,52,2,15,2
8,15,1,60,3,60,1,20,1
2,14,1,5,1,5,1,18,1
2,17,1,5,1,5,1,19,2
6,19,1,156,4,156,2,24,1
15,16,1,156,4,156,1,18,1
3,14,1,36,2,36,2,17,2
3,15,1,260,4,260,1,24,1
6,16,1,120,4,120,1,21,2
3,20,1,17,2,52,1,21,2
10,17,1,208,4,208,1,22,2
5,7,1,342,5,364,1,35,2
3,16,1,52,3,52,1,19,2
1,13,1,30,2,30,2,24,2
2,17,1,156,4,156,1,65,2
3,17,1,104,4,104,2,50,2
1,24,1,4,1,4,2,30,2
5,15,1,45,2,60,1,16,2
5,12,1,24,2,24,1,24,2
1,14,1,180,4,180,2,30,2
1,7,1,20,2,20,1,15,2
4,16,1,156,4,156,2,22,2
2,18,1,60,3,60,2,20,2
4,18,1,104,4,104,1,26,2
2,21,1,48,2,48,2,22,2
6,14,1,10,1,10,1,14,2
1,12,1,144,4,144,1,35,2
4,14,1,120,4,120,2,22,2
3,16,1,144,4,144,2,22,2
1,15,1,156,4,156,1,18,2
4,17,1,104,4,104,1,35,1
1,15,1,2,1,2,1,15,2
4,17,1,48,2,48,2,35,2
4,12,1,48,2,48,2,21,2
7,16,1,48,2,48,2,21,1
4,14,1,104,4,104,1,16,1
12,11,1,72,3,72,1,15,1
5,13,1,52,3,52,1,35,1
3,15,1,260,4,260,2,21,1
4,15,1,36,2,36,2,22,2
2,16,1,12,2,12,2,20,2
5,16,1,144,4,144,1,21,1
1,12,1,10,1,10,2,35,2
8,16,1,140,4,140,2,16,2
4,17,1,104,4,104,1,35,2
6,16,1,4,1,4,2,26,2
5,9,1,156,4,156,2,17,2
6,12,1,10,1,10,1,20,1
2,16,1,260,4,260,1,65,1
1,11,1,72,3,72,1,19,2
12,14,1,2,1,2,1,30,2
3,12,1,52,3,52,1,26,2
4,12,1,36,2,36,1,20,1
3,14,1,348,5,348,1,35,1
5,17,1,208,4,208,1,22,2
13,15,1,208,4,208,2,18,2
12,13,1,208,4,208,1,20,2
1,14,1,288,4,288,1,65,2
4,17,1,48,2,48,2,35,2
1,20,1,9,1,9,2,35,2
3,17,1,180,4,180,1,24,2
6,17,1,52,3,52,2,20,2
6,9,1,364,5,364,1,20,1
10,13,1,48,2,48,1,17,1
2,14,1,48,2,48,1,65,2
3,18,1,24,2,24,1,24,2
12,14,1,72,3,72,2,19,2
6,19,1,156,4,156,1,20,2
1,11,1,10,1,10,2,14,1
10,13,1,156,4,156,1,17,2
2,18,1,104,4,104,1,24,2
1,16,1,260,4,260,2,35,2
4,16,1,48,2,48,2,26,1
11,10,1,52,3,52,1,19,1
5,14,1,24,2,24,2,22,2
1,14,1,12,2,12,2,24,2
2,13,1,104,4,104,1,15,1
1,16,1,24,2,24,1,50,2
1,18,1,52,3,52,1,22,2
2,21,1,52,3,52,1,24,2
1,13,1,120,4,120,2,15,2
2,3,1,52,3,52,1,35,1
2,19,1,208,4,208,1,26,1
1,19,1,24,2,24,2,50,2
2,12,1,52,3,52,2,21,2
1,21,1,10,1,10,2,65,2
8,12,1,32,2,32,2,16,1
4,14,1,104,4,104,2,30,2
16,16,1,36,2,36,2,21,2
2,16,1,312,5,312,1,35,2
6,17,1,104,4,104,2,50,2
4,17,1,12,2,12,2,19,2
2,10,1,52,3,52,1,13,2
12,8,1,156,4,156,1,19,1
12,15,1,36,2,36,2,35,2
1,12,1,208,4,208,2,50,2
3,12,1,208,4,208,2,21,2
4,16,1,104,4,104,2,24,1
3,15,1,260,4,260,2,26,1
6,20,1,104,4,104,2,35,2
2,13,1,36,2,36,2,20,2
5,11,1,21,2,36,1,12,2
1,16,1,4,1,4,1,35,1
1,10,1,60,3,60,1,26,2
2,17,1,208,4,208,1,24,1
2,13,1,208,4,208,2,35,2
